aba,-1
abala,-1
abang,-1
aberya,-1
abot,-1
abot-kaya,1
abuso,-1
adbokasiya,1
adik,-1
agad,1
agap,-1
agawan,-1
agawin,-1
agitador,-1
agnas,-1
agos,-1
agrabyado,-1
agresibo,-1
ahunan,-1
akitin,1
aklamasyon,1
ako,1
aksaya,-1
aksayado,-1
akta,1
aktibo,1
akusahan,-1
akusasyon,-1
akyat,1
alab,-1
alaga,1
alak,-1
alala,-1
alalahanin,-1
alam,1
alamat,-1
alangan,-1
alarma,-1
alibí,-1
alikabok,-1
alindog,1
alingawngaw,1
alinlangan,-1
alinsunod,1
alipin,-1
alipures,-1
alipusta,-1
alis,-1
alit,-1
aliw,1
aliwalas,-1
alma,1
alog,-1
alsa,-1
altruista,1
altruistiko,1
am,1
amba,-1
ambisyoso,1
amerikano,1
amnestiya,1
amo,-1
amoy,-1
amputa,-1
anarkismo,-1
anarkista,-1
anarkistiko,-1
anarkiya,-1
anemiko,-1
angal,-1
angat,1
anghel,1
angkop,1
anino,-1
ano,-1
anod,-1
anomalya,-1
antagonismo,-1
anti-amerikano,-1
anti-paglaganap,-1
anti-sosyal,-1
antipatiya,-1
antok,-1
apdo,-1
apela,1
api,-1
aplastar,-1
apokalipsis,-1
apokaliptiko,-1
apostol,1
apoteosis,1
apoy,1
aprubahan,1
apurahan,-1
aral,1
araw,-1
arbitraryo,-1
aresto,1
argumento,-1
ari,1
arpia,-1
artipisyal,-1
asa,1
asim,-1
asinine,-1
asukal-balat,-1
asupre,-1
ata,1
atake,-1
ati,-1
atraksyon,1
atrasado,-1
atubili,-1
autokratik,-1
autokratiko,-1
awa,1
away,-1
awtoritaryan,-1
ay,1
aya,1
ayaw,-1
ayon,1
ayos,1
baba,-1
babaw,1
baboy,-1
bagabag,-1
bagal,-1
bagaman,-1
bagay,-1
bago,-1
bagot,-1
bagsak,-1
bagsik,-1
bagtas,1
bagyo,-1
baha,-1
bahagi,-1
bahagya,-1
bahala,-1
bahin,1
baho,-1
bait,1
baka,-1
bakod,-1
bakya,-1
bala,-1
balahibo,-1
balakid,-1
balangkas,-1
balanse,1
balbal,-1
baldado,-1
